fieldsite,region,langfam,society,location
ACO,South America,Indo-European,Afrocolombians,"Choco, Colombia"
ARA,South America,Indo-European,Arawak,Guyana
HAD,Africa,Hadza,Hadza,"Lake Eyasi, TZ"
JEN,Asia,Dravidian,Jenu Kurubas,Tiruvannamalai
MBE,Africa,Niger-Congo,Mbendjele,Republic of Congo
MEN,Asia,Austronesian,Mentawai Islanders,Siberut Island
MES,South America,Indo-European,Colombian Mestizos,"Choco, Colombia"
WEL,Oceania,Indo-European,Wellington,"Wellington, NZ"
NYA,Africa,Nilotic,Nyangatom,"Jinka, Ethiopia"
PNG,Oceania,Trans-New Guinea,Enga,"Wabag, PNG"
QUE,South America,Indo-European,Quechua,"Huatasani, Peru"
LIM,Europe,Indo-European,Rural Polish,Southern Poland
SPA,South America,Quechuan & Achuar,Sapara & Achuar,"Conambo, Ecuador"
TUR,Europe,Indo-European,Turku,"Turku, Finland"
TOP,Africa,Nilotic,Toposa,"Jinka, Ethiopia"
TSI,South America,Moseten-Tsimane,Tsimane,Bolivia
BEJ,Asia,Sino-Tibetan,Beijing,"Beijing, China"
KRA,Europe,Indo-European,Krakow,"Krakow, Poland"
USD,North America,Indo-European,San Diego,"San Diego, California"
TOR,North America,Indo-European,Toronto,Toronto
VAN,Oceania,Indo-European,Tannese Vanuatuans,Tanna Island
